Study ID,Study Class,Treatment Focus (Study level),Total N Randomized,Outcome Assessment Type,PTSD Outcome Measure,PTSD Outcome Measure Detail,Adjusted Variables in Statistical Analysis,Intervention Groups,NCPTSD Treatment Names,Assessment Point Category,Follow Up Assessment in Weeks,Analysis Type,Effect Size 1 Detail,Effect Size 1 Type,Effect Size 1 Value,Effect Size 1 Type of Variance Measure,Effect Size 1 Variance Value or Lower Bound,Effect Size 1 Variance Upper Bound,Effect Size 1 p value,Effect Size 2 Detail,Effect Size 2 Type,Effect Size 2 Value,Effect Size 2 Type of Variance Measure,Effect Size 2 Variance Value or Lower Bound,Effect Size 2 Variance Upper Bound,Effect Size 2 p value,Score Difference 1 Detail,Score Difference 1 Value,Score Difference 1 Standard Deviation,Score Difference 1 95% CI Lower Bound,Score Difference 1 95% CI Upper Bound,Score Difference 2 Detail,Score Difference 2 Value,Score Difference 2 Standard Deviation,Score Difference 2 95% CI Lower Bound,Score Difference 2 95% CI Upper Bound,Diagnostic Change 1 Effect Size Detail,Diagnostic Change 1 Effect Size Type,Diagnostic Change 1 Effect Size Value,Diagnostic Change 1 Effect Size Type of Variance Measure,Diagnostic Change 1 Effect Size Variance Value or Lower Bound,Diagnostic Change 1 Effect Size Variance Upper Bound,Diagnostic Change 1 Effect Size p value,Clinically Meaningful Response 1 Effect Size Detail,Clinically Meaningful Response 1 Effect Size Type,Clinically Meaningful Response 1 Effect Size Value,Clinically Meaningful Response 1 Effect Size Type of Variance Measure,Clinically Meaningful Response 1 Effect Size Variance Value or Lower Bound,Clinically Meaningful Response 1 Effect Size Variance Upper Bound,Clinically Meaningful Response 1 Effect Size p value,Additional Data Reported,Military Status (Study level),Active Duty Military Percent (Study level),Veteran Percent (Study level),Community Percent (Study level),Female Percent (Study level),Female Percent Detail (Study level),Male Percent (Study level),Trauma Type (Study level),Trauma Detail (Study level),Risk of Bias Rating (Study level),Citation,PTSDPubs ID,Year Added to PTSD-Repository
frueh2007_PCL_AvsB_12_Comp,Psychotherapy,PTSD,38,Self report,PCL,PCL-M,,A vs B,Cognitive behavioral therapy (CBT) without a trauma focus vs Cognitive behavioral therapy (CBT) without a trauma focus,Assessment at 3 to <6 Months,12,Completer,,,,,,,p=0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0,,1,Combat-related,,High,"Frueh BC, Monnier J, Yim E, et al. A randomized trial of telepsychiatry for post-traumatic stress disorder. J. Telemed. Telecare. 2007 Apr 1;13(3):142-7. doi: 10.1258/135763307780677604. PMID: 17519056.",29644,2019
galovski2012_CAPS_AvsB_0_Comp,Psychotherapy,PTSD,100,Structured Clinical Interview,CAPS,CAPS,,A vs B,Cognitive Processing Therapy (CPT) vs Symptom monitoring,End of Treatment,0,Completer,,,,,,,p<0.001,,,,,,,,,-34.4,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.69,,0.31,Mixed,"child sexual abuse, child physical abuse, rape/sexual assault, community/school violence, intimate partner violence",Medium,"Galovski TE, Blain LM, Mott JM, et al. Manualized therapy for PTSD: flexing the structure of cognitive processing therapy. J Consult Clin Psychol. 2012 Dec;80(6):968-81. doi: 10.1037/a0030600. PMID: 23106761.",39611,2019
galovski2012_CAPS_AvsB_0_ITT,Psychotherapy,PTSD,100,Structured Clinical Interview,CAPS,CAPS,,A vs B,Cognitive Processing Therapy (CPT) vs Symptom monitoring,End of Treatment,0,ITT,,Hedges' g,1.35,,,,p<0.001,,,,,,,,,-31.7,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.69,,0.31,Mixed,"child sexual abuse, child physical abuse, rape/sexual assault, community/school violence, intimate partner violence",Medium,"Galovski TE, Blain LM, Mott JM, et al. Manualized therapy for PTSD: flexing the structure of cognitive processing therapy. J Consult Clin Psychol. 2012 Dec;80(6):968-81. doi: 10.1037/a0030600. PMID: 23106761.",39611,2019
galovski2012_PDS_AvsB_0_Comp,Psychotherapy,PTSD,100,Self report,PDS,PDS,,A vs B,Cognitive Processing Therapy (CPT) vs Symptom monitoring,End of Treatment,0,Completer,,,,,,,p<0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.69,,0.31,Mixed,"child sexual abuse, child physical abuse, rape/sexual assault, community/school violence, intimate partner violence",Medium,"Galovski TE, Blain LM, Mott JM, et al. Manualized therapy for PTSD: flexing the structure of cognitive processing therapy. J Consult Clin Psychol. 2012 Dec;80(6):968-81. doi: 10.1037/a0030600. PMID: 23106761.",39611,2019
galovski2012_PDS_AvsB_0_ITT,Psychotherapy,PTSD,100,Self report,PDS,PDS,,A vs B,Cognitive Processing Therapy (CPT) vs Symptom monitoring,End of Treatment,0,ITT,,Hedges' g,0.86,,,,p<0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.69,,0.31,Mixed,"child sexual abuse, child physical abuse, rape/sexual assault, community/school violence, intimate partner violence",Medium,"Galovski TE, Blain LM, Mott JM, et al. Manualized therapy for PTSD: flexing the structure of cognitive processing therapy. J Consult Clin Psychol. 2012 Dec;80(6):968-81. doi: 10.1037/a0030600. PMID: 23106761.",39611,2019
galovski2016_CAPS_AvsB_12_ITT,Mixed: Psychotherapy & CIH,PTSD,92,Structured Clinical Interview,CAPS,CAPS total score without sleep item (D-1),Years of education,A vs B,Sleep-directed hypnosis followed by Cognitive Processing Therapy (CPT) vs Sleep and symptom monitoring followed by Cognitive Processing Therapy (CPT),Assessment at 3 to <6 Months,12,ITT,,Effect size,-0.33,,,,p>0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,1,,0,Mixed,"child sexual abuse, child physical abuse, rape/sexual assault, community/school violence, intimate partner violence",High,"Galovski TE, Harik JM, Blain LM, et al. Augmenting cognitive processing therapy to improve sleep impairment in PTSD: a randomized controlled trial. J Consult Clin Psychol. 2016 Feb;84(2):167-77. doi: 10.1037/ccp0000059. PMID: 26689303.",44664,2019
gamito2010_CAPS_Omnibus_0_NA,Psychotherapy,PTSD,10,Structured Clinical Interview,CAPS,CAPS,,Omnibus,Virtual reality exposure therapy (VRET) vs Trauma-focused cognitive behavioral therapy (TF-CBT) vs Waitlist,End of Treatment,0,,,,,,,,p>0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0,,1,Combat-related,,Medium,"Gamito P, Oliveira J, Rosa P, et al. PTSD elderly war veterans: a clinical controlled pilot study. Cyberpsychol Behav Soc Netw. 2010 Feb;13(1):43-8. doi: 10.1089/cyber.2009.0237. PMID: 20528292.",33784,2019
gamito2010_IES_Omnibus_0_NA,Psychotherapy,PTSD,10,Self report,IES,IES-R,,Omnibus,Virtual reality exposure therapy (VRET) vs Trauma-focused cognitive behavioral therapy (TF-CBT) vs Waitlist,End of Treatment,0,,,,,,,,p=NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0,,1,Combat-related,,Medium,"Gamito P, Oliveira J, Rosa P, et al. PTSD elderly war veterans: a clinical controlled pilot study. Cyberpsychol Behav Soc Netw. 2010 Feb;13(1):43-8. doi: 10.1089/cyber.2009.0237. PMID: 20528292.",33784,2019
gapen2016_DTS_AvsB_0_NA,Complementary and integrative health (CIH),PTSD,23,Self report,DTS,DTS,None,A vs B,Neurofeedback vs Neurofeedback,End of Treatment,0,,Sensor placement effect size (difference between placements),d,-0.7,,,,,Sensor placement x Time interaction,,,,,,p=0.222,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.6522,,0.3478,Mixed,"child physical abuse, child sexual abuse, child other abuse, other (not specified)",High,"Gapen MA, van der Kolk BA, Hamlin E, et al. A pilot study of neurofeedback for chronic PTSD. Appl Psychophysiol Biofeedback. 2016 Sep;41(3):251-61. doi: 10.1007/s10484-015-9326-5. PMID: 26782083.",44803,2019
gersons2000_DSM_AvsB_0_ITT,Psychotherapy,PTSD,44,Clinical diagnosis,DSM,Number of DSM-III-R PTSD symptoms,,A vs B,Brief Eclectic Psychotherapy (BEP) vs Waitlist,End of Treatment,0,ITT,,,,,,,p<0.01,,,,,,,,,,,,,,,,,,,,,,,,p<0.01,,,,,,,p<0.01,,Community,,,1,0.119,,0.881,Other (occupational events),,Medium,"Gersons BP, Carlier IV, Lamberts RD, et al. Randomized clinical trial of brief eclectic psychotherapy for police officers with posttraumatic stress disorder. J Trauma Stress. 2000 Apr;13(2):333-47. doi: 10.1023/A:1007793803627. PMID: 10838679..",15124,2019
gersons2000_DSM_AvsB_12_ITT,Psychotherapy,PTSD,44,Clinical diagnosis,DSM,Number of DSM-III-R PTSD symptoms,,A vs B,Brief Eclectic Psychotherapy (BEP) vs Waitlist,Assessment at 3 to <6 Months,12,ITT,,,,,,,p<0.01,,,,,,,,,,,,,,,,,,,,,,,,p<0.01,,,,,,,p<0.01,,Community,,,1,0.119,,0.881,Other (occupational events),,Medium,"Gersons BP, Carlier IV, Lamberts RD, et al. Randomized clinical trial of brief eclectic psychotherapy for police officers with posttraumatic stress disorder. J Trauma Stress. 2000 Apr;13(2):333-47. doi: 10.1023/A:1007793803627. PMID: 10838679..",15124,2019
ghafoori2017_PCL_AvsB_0_ITT,Psychotherapy,PTSD,71,Self report,PCL,PCL-5,Baseline scores,A vs B,Prolonged Exposure (PE) vs Present Centered Therapy (PCT),End of Treatment,0,ITT,Change from baseline: Treatment main effect; (A lower score vs B),,,,,,p=0.034,Endpoint difference,Cohen's d,0.044,,,,p=NS,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.831,,0.169,Mixed,"natural or manmade disaster, accidents, rape/sexual assault, community/school violence, illness/medical procedure, combat-related, terrorism/political violence/forced displacement",High,"Ghafoori B, Hansen MC, Garibay E, et al. Feasibility of training frontline therapists in prolonged exposure: a randomized controlled pilot study of treatment of complex trauma in diverse victims of crime and violence. J Nerv Ment Dis. 2017 Apr;205(4):283-93. doi: 10.1097/NMD.0000000000000659. PMID: 28157725.",1523171,2019
goldstein2018_CAPS_AvsB_0_ITT,Complementary and integrative health (CIH),PTSD,47,Structured Clinical Interview,CAPS,CAPS,,A vs B,Exercise vs Waitlist,End of Treatment,0,ITT,,Cohen's d,-0.9,95% CI,-1.72,-0.08,p=0.038,,,,,,,,,14.77,24.56,,,,,,,,,,,,,,,,,,,,,,,Veteran,,1,,0.1915,,0.8085,,,Low,"Goldstein LA, Mehling WE, Metzler TJ, et al. Veterans group exercise: a randomized pilot trial of an integrative exercise program for veterans with posttraumatic stress. J Affect Disord. 2018 Feb;227:345-52. doi: 10.1016/j.jad.2017.11.002. PMID: 29145076.",49403,2019
golier2012_CAPS_AvsB_0_Comp,Pharmacotherapy,PTSD,9,Structured Clinical Interview,CAPS,CAPS-2,None,A vs B,Mifepristone vs Placebo,End of Treatment,0,Completer,,,,,,,p=0.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p=0.465,Additional data reported in the study for other definitions of clinically meaningful response,Veteran,0,1,0,,,,Combat-related,,Medium,"Golier JA, Caramanica K, Demaria R, et al. A pilot study of mifepristone in combat-related PTSD. Depress Res Treat. 2012;2012:393251. doi: 10.1155/2012/393251. PMID: 22611490.",39051,2019
golier2012_CAPS_AvsB_4_Comp,Pharmacotherapy,PTSD,9,Structured Clinical Interview,CAPS,CAPS-2,None,A vs B,Mifepristone vs Placebo,Assessment at <3 Months,4,Completer,,,,,,,p=0.047,,,,,,,,,,,,,,,,,,,,,,,,p=0.157,,,,,,,p=0.157,Additional data reported in the study for other definitions of clinically meaningful response,Veteran,0,1,0,,,,Combat-related,,Medium,"Golier JA, Caramanica K, Demaria R, et al. A pilot study of mifepristone in combat-related PTSD. Depress Res Treat. 2012;2012:393251. doi: 10.1155/2012/393251. PMID: 22611490.",39051,2019
golier2012_PCL_AvsB_0_Comp,Pharmacotherapy,PTSD,9,Self report,PCL,PCL,,A vs B,Mifepristone vs Placebo,End of Treatment,0,Completer,,,,,,,p=0.691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,,,,Combat-related,,Medium,"Golier JA, Caramanica K, Demaria R, et al. A pilot study of mifepristone in combat-related PTSD. Depress Res Treat. 2012;2012:393251. doi: 10.1155/2012/393251. PMID: 22611490.",39051,2019
golier2012_PCL_AvsB_4_Comp,Pharmacotherapy,PTSD,9,Self report,PCL,PCL,,A vs B,Mifepristone vs Placebo,Assessment at <3 Months,4,Completer,,,,,,,p=0.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,,,,Combat-related,,Medium,"Golier JA, Caramanica K, Demaria R, et al. A pilot study of mifepristone in combat-related PTSD. Depress Res Treat. 2012;2012:393251. doi: 10.1155/2012/393251. PMID: 22611490.",39051,2019
gray2019a_PCL_AvsB_0_ITT,Psychotherapy,PTSD,74,Self report,PCL,PCL-M,,A vs B,Reconsolidation of Traumatic Memories (RTM) vs Waitlist,End of Treatment,0,ITT,,Hedges' g,-2.29,95% CI,-2.88,-1.71,p<0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0,,1,Mixed,"MST, combat-related, rape/sexual assault, accidents, community/school violence, terrorism/political violence/forced displacement, other (not specified)",Medium,"Gray R, Budden-Potts D, Bourke F. Reconsolidation of traumatic memories for PTSD: a randomized controlled trial of 74 male veterans. Psychother Res. 2017 Dec 14:1-19. doi: 10.1080/10503307.2017.1408973. PMID: 29241423.",49545,2020
gray2019a_PSS-I_AvsB_0_ITT,Psychotherapy,PTSD,74,Structured Clinical Interview,PSS-I,PSS-I,,A vs B,Reconsolidation of Traumatic Memories (RTM) vs Waitlist,End of Treatment,0,ITT,Endpoint difference,Hedges' g,-2.13,95% CI,-2.7,-1.56,p<0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0,,1,Mixed,"MST, combat-related, rape/sexual assault, accidents, community/school violence, terrorism/political violence/forced displacement, other (not specified)",Medium,"Gray R, Budden-Potts D, Bourke F. Reconsolidation of traumatic memories for PTSD: a randomized controlled trial of 74 male veterans. Psychother Res. 2017 Dec 14:1-19. doi: 10.1080/10503307.2017.1408973. PMID: 29241423.",49545,2020
hall2019a_PCL_AvsB_0_ITT,Complementary and integrative health (CIH),PTSD,54,Self report,PCL,PCL-5,None,A vs B,Exercise vs Waitlist,End of Treatment,0,ITT,,Cohen's d,-0.38,,,,p=NR,,,,,,,,Endpoint difference,-4.23,,-11.7,3.3,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.9074,,0.0926,,,Medium,"Hall KS, Morey MC, Bosworth HB, et al. Pilot randomized controlled trial of exercise training for older veterans with PTSD. J Behav Med. 2019 Jul 1doi: 10.1007/s10865-019-00073-w. PMID: 31264055.",52094,2020
hamner2009_CAPS_AvsB_0_ITT,Pharmacotherapy,PTSD,29,Structured Clinical Interview,CAPS,CAPS-2,,A vs B,Divalproex vs Placebo,End of Treatment,0,ITT,,,,,,,p=0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.0345,,0.9655,Mixed,"combat-related, MST",High,"Hamner MB, Faldowski RA, Robert S, et al. A preliminary controlled trial of divalproex in posttraumatic stress disorder. Ann Clin Psychiatry. 2009 Apr-Jun;21(2):89-94. PMID: 19439158.",33535,2019
hamner2009_IES_AvsB_0_ITT,Pharmacotherapy,PTSD,29,Self report,IES,IES,,A vs B,Divalproex vs Placebo,End of Treatment,0,ITT,,,,,,,p=0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.0345,,0.9655,Mixed,"combat-related, MST",High,"Hamner MB, Faldowski RA, Robert S, et al. A preliminary controlled trial of divalproex in posttraumatic stress disorder. Ann Clin Psychiatry. 2009 Apr-Jun;21(2):89-94. PMID: 19439158.",33535,2019
hamner2019_CAPS_AvsB_0_ITT,Pharmacotherapy,PTSD,24,Structured Clinical Interview,CAPS,CAPS,Baseline CAPS score,A vs B,Ziprasidone augmentation vs Placebo,End of Treatment,0,ITT,,,,,,,p=0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,,,,,,High,"Hamner MB, Hernandez-Tejada MA, Zuschlag ZD, et al. Ziprasidone augmentation of SSRI antidepressants in posttraumatic stress disorder: a randomized, placebo-controlled pilot study of augmentation therapy. J Clin Psychopharmacol. 2019 Mar/Apr;39(2):153-7. doi: 10.1097/JCP.0000000000001000. PMID: 30640209.",51867,2020
hanling2016_CAPS_AvsB_0_Comp,Nonpharmacologic biological,PTSD,42,Structured Clinical Interview,CAPS,CAPS-2,,A vs B,Stellate ganglion block (SGB) vs Sham,End of Treatment,0,Completer,First injection (SGB after sham); Group x Time interaction,,,,,,p>0.05,Second injection (SGB after SGB or sham); Group x Time interaction,,,,,,p>0.05,,,,,,,,,,,,,,,,,,,,,,,,,,Mixed,0.881,0.119,0,0.1905,,0.8095,Mixed,"combat-related, other (noncombat unspecified)",Medium,"Hanling SR, Hickey A, Lesnik I, et al. Stellate Ganglion Block for the treatment of posttraumatic stress disorder: a randomized, double-blind, controlled trial. Reg Anesth Pain Med. 2016 Jul-Aug;41(4):494-500. doi: 10.1097/aap.0000000000000402. PMID: 27187898.",46472,2019
harb2019_PCL_AvsB_26_ITT,Psychotherapy,PTSD,108,Self report,PCL,PCL-M,Baseline PSQI score and baseline CAPS score,A vs B,Imagery Rehearsal Training (IRT) + Cognitive Behavioral Therapy for Insomnia (CBT-I) vs Cognitive Behavioral Therapy for Insomnia (CBT-I),Assessment at 6 to <12 Months,26,ITT,,,,,,,p=0.57,,,,,,,,Change over time,-2.2,,-6.2,1.8,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.139,,0.861,Combat-related,,Low,"Harb GC, Cook JM, Phelps AJ, et al. Randomized controlled trial of imagery rehearsal for posttraumatic nightmares in combat veterans. J Clin Sleep Med. 2019 May 15;15(5):757-67. doi: 10.5664/jcsm.7770. PMID: 31053215.",,2020
harris2018_CAPS_AvsB_0_Comp,Mixed: Psychotherapy & CIH,PTSD,138,Structured Clinical Interview,CAPS,CAPS,,A vs B,Building Spiritual Strength vs Present Centered Therapy (PCT),End of Treatment,0,Completer,,,,,,,p=0.409,Treatment x Time interaction,,,,,,p=0.289,,,,,,,,,,,,,,,,,,,,,,,,p=0.868,Additional data reported in the study for other definitions of clinically meaningful response,Veteran,0,1,0,0.2391,,0.7609,Mixed,"combat-related, rape/sexual assault, accidents, illness/medical procedure, community/school violence, other (adverse childhood experiences, not specified)",Medium,"Harris JI, Usset T, Voecks C, et al. Spiritually integrated care for PTSD: a randomized controlled trial of ‚Äö√Ñ√∫Building Spiritual Strength‚Äö√Ñ√π. Psychiatry Res. 2018 Jun 20;267:420-8. doi: 10.1016/j.psychres.2018.06.045. PMID: 29980120.",50585,2019
harris2018_PCL_AvsB_0_Comp,Mixed: Psychotherapy & CIH,PTSD,138,Self report,PCL,PCL-C,,A vs B,Building Spiritual Strength vs Present Centered Therapy (PCT),End of Treatment,0,Completer,,Cohen's d,0.15,,,,p=0.325,Treatment x Time interaction,,,,,,p=0.244,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.2391,,0.7609,Mixed,"combat-related, rape/sexual assault, accidents, illness/medical procedure, community/school violence, other (adverse childhood experiences, not specified)",Medium,"Harris JI, Usset T, Voecks C, et al. Spiritually integrated care for PTSD: a randomized controlled trial of ‚Äö√Ñ√∫Building Spiritual Strength‚Äö√Ñ√π. Psychiatry Res. 2018 Jun 20;267:420-8. doi: 10.1016/j.psychres.2018.06.045. PMID: 29980120.",50585,2019
harris2018_PCL_AvsB_8_Comp,Mixed: Psychotherapy & CIH,PTSD,138,Self report,PCL,PCL-C,,A vs B,Building Spiritual Strength vs Present Centered Therapy (PCT),Assessment at <3 Months,8,Completer,,,,,,,p=0.107,Treatment x Time interaction,,,,,,p=0.384,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.2391,,0.7609,Mixed,"combat-related, rape/sexual assault, accidents, illness/medical procedure, community/school violence, other (adverse childhood experiences, not specified)",Medium,"Harris JI, Usset T, Voecks C, et al. Spiritually integrated care for PTSD: a randomized controlled trial of ‚Äö√Ñ√∫Building Spiritual Strength‚Äö√Ñ√π. Psychiatry Res. 2018 Jun 20;267:420-8. doi: 10.1016/j.psychres.2018.06.045. PMID: 29980120.",50585,2019
henseldittmann2011_CAPS_AvsB_0_ITT,Psychotherapy,PTSD,28,Structured Clinical Interview,CAPS,CAPS,,A vs B,Narrative Exposure Therapy (NET) vs Stress Inoculation Training (SIT),End of Treatment,0,ITT,,,,,,,p>0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,,,,Terrorism/political violence/forced displacement,,High,"Hensel-Dittmann D, Schauer M, Ruf M, et al. Treatment of traumatized victims of war and torture: a randomized controlled comparison of narrative exposure therapy and stress inoculation training. Psychother Psychosom. 2011 Oct;80(6):345-52. doi: 10.1159/000327253. PMID: 21829046.",37590,2019
henseldittmann2011_CAPS_AvsB_26_ITT,Psychotherapy,PTSD,28,Structured Clinical Interview,CAPS,CAPS,,A vs B,Narrative Exposure Therapy (NET) vs Stress Inoculation Training (SIT),Assessment at 6 to <12 Months,26,ITT,,,,,,,p>0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,,,,Terrorism/political violence/forced displacement,,High,"Hensel-Dittmann D, Schauer M, Ruf M, et al. Treatment of traumatized victims of war and torture: a randomized controlled comparison of narrative exposure therapy and stress inoculation training. Psychother Psychosom. 2011 Oct;80(6):345-52. doi: 10.1159/000327253. PMID: 21829046.",37590,2019
henseldittmann2011_CAPS_AvsB_52_ITT,Psychotherapy,PTSD,28,Structured Clinical Interview,CAPS,CAPS,,A vs B,Narrative Exposure Therapy (NET) vs Stress Inoculation Training (SIT),Assessment at ≥12 Months,52,ITT,,,,,,,p>0.05,Treatment x Time interaction,,,,,,p<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,,,,Terrorism/political violence/forced displacement,,High,"Hensel-Dittmann D, Schauer M, Ruf M, et al. Treatment of traumatized victims of war and torture: a randomized controlled comparison of narrative exposure therapy and stress inoculation training. Psychother Psychosom. 2011 Oct;80(6):345-52. doi: 10.1159/000327253. PMID: 21829046.",37590,2019
herescolevy2002_CAPS_AvsB_0_Comp,Pharmacotherapy,PTSD,11,Structured Clinical Interview,CAPS,CAPS,,A vs B,D-cycloserine vs Placebo,End of Treatment,0,Completer,Group x Time interaction,,,,,,p=0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.1818,,0.8182,Mixed,"accidents, terrorism/political violence/forced displacement, other (physical abuse)",Medium,"Heresco-Levy U, Kremer I, Javitt DC, et al. Pilot-controlled trial of D-cycloserine for the treatment of post-traumatic stress disorder. Int J Neuropsychopharmacol. 2002 Dec;5(4):301-7. doi: 10.1017/S1461145702003061. PMID: 12466030.",25345,2019
herescolevy2002_M-PTSD_AvsB_0_Comp,Pharmacotherapy,PTSD,11,Self report,M-PTSD,M-PTSD,,A vs B,D-cycloserine vs Placebo,End of Treatment,0,Completer,Treatment x Time interaction,,,,,,p=0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.1818,,0.8182,Mixed,"accidents, terrorism/political violence/forced displacement, other (physical abuse)",Medium,"Heresco-Levy U, Kremer I, Javitt DC, et al. Pilot-controlled trial of D-cycloserine for the treatment of post-traumatic stress disorder. Int J Neuropsychopharmacol. 2002 Dec;5(4):301-7. doi: 10.1017/S1461145702003061. PMID: 12466030.",25345,2019
herescolevy2009_CAPS_AvsB_0_ITT,Pharmacotherapy,PTSD,22,Structured Clinical Interview,CAPS,CAPS,"Baseline score, treatment phase, treatment order",A vs B,D-serine vs Placebo,End of Treatment,0,ITT,Group x Time interaction,,,,,,p=0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.1364,,0.8636,Mixed,"combat-related, accidents, terrorism/political violence/forced displacement, other (not specified)",Medium,"Heresco-Levy U, Vass A, Bloch B, et al. Pilot controlled trial of D-serine for the treatment of post-traumatic stress disorder. Int J Neuropsychopharmacol. 2009 Oct;12(9):1275-82. doi: 10.1017/S1461145709000339. PMID: 19366490.",33582,2019
herescolevy2009_M-PTSD_AvsB_0_ITT,Pharmacotherapy,PTSD,22,Self report,M-PTSD,M-PTSD,,A vs B,D-serine vs Placebo,End of Treatment,0,ITT,Treatment x Time interaction,,,,,,p=0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.1364,,0.8636,Mixed,"combat-related, accidents, terrorism/political violence/forced displacement, other (not specified)",Medium,"Heresco-Levy U, Vass A, Bloch B, et al. Pilot controlled trial of D-serine for the treatment of post-traumatic stress disorder. Int J Neuropsychopharmacol. 2009 Oct;12(9):1275-82. doi: 10.1017/S1461145709000339. PMID: 19366490.",33582,2019
hertzberg2000_CAPS_AvsB_0_ITT,Pharmacotherapy,PTSD,12,Structured Clinical Interview,CAPS,CAPS,,A vs B,Fluoxetine vs Placebo,End of Treatment,0,ITT,,,,,,,p=NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0,,1,Combat-related,,High,"Hertzberg MA, Feldman ME, Beckham JC, et al. Lack of efficacy for fluoxetine in PTSD: a placebo controlled trial in combat veterans. Ann Clin Psychiatry. 2000 Jun;12(2):101-5. doi: 10.1023/A:1009076231175. PMID: 10907802.",22432,2019
